metraz,rozloha,energeticka_narocnost,stav,lokalita,cena,link
92,3+kk,G,Po rekonstrukci,jihomoravsky-kraj,8400000,https://www.sreality.cz/detail/prodej/byt/3+kk/brno-horni-herspice-sokolova/2388005452
62,3+kk,G,Ve velmi dobrém stavu,praha,13000000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nove-mesto-truhlarska/2804380236
82,3+kk,B,Novostavba,praha,16750000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-malesicka/1427161676
76,3+kk,C,Ve velmi dobrém stavu,jihocesky-kraj,6500000,https://www.sreality.cz/detail/prodej/byt/3+kk/frymburk-kovarov-/141505100
32,1+kk,C,Novostavba,praha,6394667,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-hostivar-prazska/3358769740
125,5+kk,G,Ve velmi dobrém stavu,praha,21690000,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-stare-mesto-u-obecniho-dvora/1784943180
60,2+kk,C,Po rekonstrukci,praha,7800000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-suchdol-u-kruhovky/2142597708
112,3+kk,B,Ve velmi dobrém stavu,praha,21500000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-dejvice-na-cihadle/2313556556
106,3+kk,C,Ve velmi dobrém stavu,praha,14490000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hostivar-na-pliskave/2745774668
62,3+kk,C,Novostavba,praha,10290000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hostivar-prazska/2301805132
97,3+kk,C,Novostavba,praha,26990000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-brevnov-u-petrin/3896623692
56,2+kk,B,Novostavba,praha,10770000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-malesicka/3976249932
27,1+kk,G,V dobrém stavu,praha,4399999,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-krivoklatska/2081583692
84,3+kk,B,Novostavba,praha,13965000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-zenklova/3887825484
103,3+kk,B,Novostavba,praha,15990001,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-michle-hodoninska/2941452876
154,3+kk,G,Ve velmi dobrém stavu,praha,25000000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-holesovice-jankovcova/1891459660
77,2+kk,G,Po rekonstrukci,zlinsky-kraj,2150000,https://www.sreality.cz/detail/prodej/byt/2+kk/hostice-hostice-/2457866828
46,2+kk,E,Ve velmi dobrém stavu,praha,10200000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-simackova/2174485068
36,1+kk,E,Ve velmi dobrém stavu,praha,7407000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-vinohradska/2197652044
80,3+kk,B,Ve velmi dobrém stavu,praha,9990000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kbely-martinicka/1431142988
68,2+kk,B,Novostavba,praha,10298759,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-pod-krocinkou/3614941772
58,2+kk,B,Novostavba,olomoucky-kraj,3500000,https://www.sreality.cz/detail/prodej/byt/2+kk/zabreh-zabreh-lestinska/3774513740
71,2+kk,D,Ve velmi dobrém stavu,stredocesky-kraj,6300000,https://www.sreality.cz/detail/prodej/byt/2+kk/celakovice-celakovice-namesti-5-kvetna/2376954444
42,2+kk,D,Po rekonstrukci,olomoucky-kraj,4490000,https://www.sreality.cz/detail/prodej/byt/2+kk/velke-losiny-velke-losiny-osvobozeni/1356055116
78,3+kk,B,Novostavba,praha,11990000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zbraslav-na-banich/3031364172
129,4+kk,B,Novostavba,stredocesky-kraj,13838800,https://www.sreality.cz/detail/prodej/byt/4+kk/beroun-beroun-zavodi-jiraskova/405165388
57,2+kk,G,Po rekonstrukci,kralovehradecky-kraj,4950000,https://www.sreality.cz/detail/prodej/byt/2+kk/hradec-kralove-prazske-predmesti-jungmannova/4087964236
69,3+kk,C,Ve velmi dobrém stavu,praha,7550000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-nechvilova/1087955532
103,3+kk,B,Novostavba,jihomoravsky-kraj,17700000,https://www.sreality.cz/detail/prodej/byt/3+kk/brno-veveri-lidicka/978940492
36,1+kk,G,Novostavba,praha,7819000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nusle-maroldova/1022657868
235,3+kk,G,Ve velmi dobrém stavu,praha,42500000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nove-mesto-pstrossova/1324266060
82,3+kk,D,Po rekonstrukci,stredocesky-kraj,7435423,https://www.sreality.cz/detail/prodej/byt/3+kk/neprobylice-neprobylice-/2880234060
